[2026-04-17 15:02:03] PASS: not spec file
[2026-04-17 15:02:11] PASS: not spec file
[2026-04-17 15:02:17] PASS: not spec file
[2026-04-17 15:02:45] PASS: not spec file
[2026-04-17 15:03:34] PASS: not spec file
[2026-04-17 15:03:43] PASS: not spec file
[2026-04-17 15:03:48] PASS: not spec file
[2026-04-17 15:03:51] PASS: not spec file
[2026-04-17 15:04:38] PASS: not spec file
[2026-04-17 15:05:19] PASS: not spec file
[2026-04-17 15:05:40] PASS: not spec file
[2026-04-17 15:06:05] PASS: meta spec file
[2026-04-17 20:20:50] PASS: template read in session
[2026-04-17 20:21:04] PASS: template read in session
[2026-04-17 20:21:21] PASS: template read in session
[2026-04-17 20:21:41] PASS: template read in session
[2026-04-17 20:21:54] PASS: template read in session
[2026-04-17 20:22:04] PASS: template read in session
[2026-04-17 20:22:18] PASS: template read in session
[2026-04-17 20:22:23] PASS: template read in session
[2026-04-17 20:22:28] PASS: template read in session
[2026-04-17 20:22:35] PASS: meta spec file
[2026-04-17 20:23:18] PASS: template read in session
[2026-04-17 20:24:10] PASS: template read in session
[2026-04-17 20:24:17] PASS: template read in session
[2026-04-17 20:26:03] PASS: template read in session
[2026-04-17 20:26:29] PASS: template read in session
[2026-04-17 20:26:45] PASS: template read in session
[2026-04-17 20:27:06] PASS: template read in session
[2026-04-17 20:27:11] PASS: template read in session
[2026-04-17 20:29:27] PASS: template read in session
[2026-04-17 20:29:39] PASS: template read in session
[2026-04-17 20:29:54] PASS: template read in session
[2026-04-17 20:29:59] PASS: template read in session
[2026-04-17 20:30:17] PASS: template read in session
[2026-04-17 20:30:35] PASS: template read in session
[2026-04-17 20:37:59] PASS: template read in session
[2026-04-17 20:38:08] PASS: template read in session
[2026-04-17 20:38:12] PASS: template read in session
[2026-04-17 20:38:20] PASS: template read in session
[2026-04-17 20:38:21] PASS: template read in session
[2026-04-17 20:38:32] PASS: template read in session
[2026-04-17 20:38:36] PASS: template read in session
[2026-04-17 20:38:38] PASS: template read in session
